review,sentiment
I'm trying to return it for a refund.,0
I plugged it in only to find out not a darn thing worked.,0
Excellent product.,1
Earbud piece breaks easily.,0
Lousy product.,0
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0
It is the best charger I have seen on the market yet.,1
SWEETEST PHONE!!!,1
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
Not enough volume.,0
Echo Problem....Very unsatisfactory,0
you could only take 2 videos at a time and the quality was very poor.,0
don't waste your money.,0
I am going to have to be the first to negatively review this product.,0
Adapter does not provide enough charging current.,0
You also cannot take pictures with it in the case because the lense is covered.,0
Phone falls out easily.,0
The text messaging feature is really tricky to use.,0
I'm really disappointed all I have now is a charger that doesn't work.,0
Painful on the ear.,0
Lasted one day and then blew up.,0
disappointed.,0
Kind of flops around.,0
The screen does get smudged easily because it touches your ear and face.,0
What a piece of junk.. I lose more calls on this phone.,0
Item Does Not Match Picture.,0
The only thing that disappoint me is the infra red port (irda).,0
